attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
saltContent,ST,,ST,Strongly salty,Strongly salty soil with salt content 4–8 dS m-1,,,False,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,VST,,VST,Very strongly salty,Very strongly salty soil with salt content 8–15 dS m-1,,,False,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,MO,,MO,Moderately salty,Extremely salty soil with salt content 2–4 dS m-1,,,False,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
erosionCategory,WD,W,WD,Deposition by water,Soil deposition caused by water,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,M,,N,Mass movement,"Mass movements are defined as processes of erosion, transport and accumulation of material that occur on both gentle and steep slopes mainly owing to gravitational forces.",,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,AM,A,AM,Wind erosion and deposition,Erosion and deposition caused by wind,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,WG,W,WG,Gully erosion,Erosion caused by flowing surface water,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,WA,W,WA,Water and wind erosion,Erosion and deposition caused by wind,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,A,,A,Wind (aeolian) erosion or deposition,Erosion caused by wind,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,NK,,N,Not known,Unknown causes of Soil erosion,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,AZ,A,AZ,Salt deposition,Erosion caused by salt deposition,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,WS,W,WS,Sheet erosion,Uniform erosion of soil in the form of thin layers or sheets.,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,AD,A,AD,Wind deposition,Soil deposition caused by wind,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,WT,W,WT,Tunnel erosion,Erosion caused by the movement of excess water through a dispersive subsoil.,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,AS,A,AS,Shifting sands,Erosion caused by shifting of sands,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,N,,N,No evidence of erosion,"Refers to a condition in which the soil shows no visible signs of erosion, indicating that the surface is intact and not undergoing significant degradation due to physical forces like water, wind, or human activity. This category is often used in soil conservation and land management to evaluate the stability of soil. It suggests that soil properties are being maintained, and there is no noticeable loss of topsoil or alteration in the soil structure that would be indicative of erosion processes such as rill, sheet, or gully erosion. In agricultural and ecological contexts, the absence of erosion is a positive indicator that the land is being properly managed, with adequate vegetation cover or protective measures in place to prevent soil degradation​. Source: Soil Erosion from Intro to Environmental Science",,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,WR,W,WR,Rill erosion,"Rill erosion is the type of erosion that occurs as water flows over a hillslope and cuts shallow, curvy channels into the top soil.",,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
erosionCategory,W,,W,Water erosion or deposition,Erosion and decposition caused by flowing surface water,,,False,Erosion can be classified as water or wind erosion and include off-site effects such as deposition; a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16,,,
cracksDistance,D,,D,Closely spaced 0.2–0.5,Closely spaced surface crack with distance between 0.2 - 0.5 m,,,False,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,V,,V,Very widely spaced > 5,Very widely spaced surface crack with distance more than 5 m,,,False,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,C,,C,Very closely spaced < 0.2,Very closely spaced surface crack with distance less than 0.2 m,,,False,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,W,,W,Widely spaced 2–5,Widely spaced surface crack with distance between 2–5 m,,,False,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,M,,M,Moderately widely spaced 0.5–2,Moderately widely spaced surface crack with distance between 0.5–2 m,,,False,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
sandyTexture,FS,,FS,Fine sand,Fine sand is a subdivision of the unspecified Sand (S) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,LFS,,LFS,Loamy fine sand,Loamy fine sand is a subdivision of the Loamy sand (LS) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,LCS,,LCS,Loamy coarse sand,Loamy coarse sand is a subdivision of the Loamy sand (LS) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,MS,,MS,Medium sand,Medium sand is a subdivision of the unspecified Sand (S) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,CSL,,CSL,Coarse sandy loam,Coarse sandy loam is a subdivision of the Sandy Loam (SL) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,US,,US,"Sand, unsorted",Unsorted Sand is a subdivision of the unspecified Sand (S) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,CS,,CS,Coarse sand,Coarse sand is a subdivision of the unspecified Sand (S) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,FSL,,FSL,Fine sandy loam,Fine sandy loam is a subdivision of the Sandy Loam (SL) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,LVFS,,LVFS,Loamy very fine sand,Loamy very fine sand is a subdivision of the Loamy sand (LS) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,VFS,,VFS,Very fine sand,Very fine sand is a subdivision of the unspecified Sand (S) textural class,,,False,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
mineralConcShape,R,,R,Rounded (spherical),Rounded (spherical) shape of mineral concentrations,,,False,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,E,,E,Elongated,Elongated shape of mineral concentrations,,,False,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,A,,A,Angular,Angular shape of mineral concentrations,,,False,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,I,,I,Irregular,Irregular shape of mineral concentrations,,,False,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,F,,F,Flat,Flat shape of mineral concentrations,,,False,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
boundaryClassification,C,,C,Clear,Boundary of mottles 0.5–2 mm,,,False,The boundary between mottle and matrix is described as the thickness of the zone within which the colour transition can be located without being in either the mottle or matrix. See more in guidelines for Soil Description issued by the FAO: table 35,,,
boundaryClassification,S,,S,Sharp,Boundary of mottles < 0.5,,,False,The boundary between mottle and matrix is described as the thickness of the zone within which the colour transition can be located without being in either the mottle or matrix. See more in guidelines for Soil Description issued by the FAO: table 35,,,
boundaryClassification,D,,D,Diffuse,Boundary of mottles > 2 mm,,,False,The boundary between mottle and matrix is described as the thickness of the zone within which the colour transition can be located without being in either the mottle or matrix. See more in guidelines for Soil Description issued by the FAO: table 35,,,
floodDuration,,,,,,,,False,"Related to the amount of time an area remains inundated by floodwater.  This metric is important because it helps assess the extent of waterlogging and its impact on soil properties, particularly in terms of oxygen availability and soil aeration. Flood duration affects the mobility of nutrients and contaminants within the soil, influencing both agricultural productivity and environmental quality. Longer flood durations can also lead to changes in soil texture and structure due to the continuous movement and deposition of particles during inundation​. Source: Guidance for Flood Risk Analysis and Mapping",,,
textSilt,mSi_ISO,Si_ISO,mSi_ISO,Medium silt (0.0063 - 0.02 mm),Content of mineral particles with sizes between 6.3-20 µm in soil,https://www.iso.org/standard/66345.html,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,fSi_ISO,Si_ISO,fSi_ISO,Fine silt (0.002 - 0.0063 mm),Content of mineral particles with sizes between 2-6.3 µm in soil,https://www.iso.org/standard/66345.html,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,cSi_ISO,Si_ISO,cSi_ISO,Coarse silt (0.02 - 0.063 mm),Content of mineral particles with sizes between 20-63 µm in soil,https://www.iso.org/standard/66345.html,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,Si_ISSS,,Si_ISSS,Silt (0.002 - 0.02 mm),Content of mineral particles with sizes between 2-20 µm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,Si_USDA,,Si_USDA,Silt (0.002 - 0.05 mm),Content of mineral particles with sizes between 2-50 µm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,Si_ISO,,Si_ISO,Silt (0.002 - 0.063 mm),Content of mineral particles with sizes between 2-63 µm in soil,https://www.iso.org/standard/66345.html,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,cSi_USDA,Si_USDA,cSi_USDA,Coarse silt (0.02 - 0.05 mm),Content of mineral particles with sizes between 20-50 µm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
textSilt,fSi_USDA,Si_USDA,fSi_USDA,Fine silt (0.002 - 0.02 mm),Content of mineral particles with sizes between 2-20 µm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,False,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
landformComplex,DU,,DU,Dune-shaped,Dune-shaped landform,,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,RI,,RI,Ridged,Ridged Landform,,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,CU,,CU,Cuesta-shaped,Cuesta-shaped lanform,,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,KA,,KA,Strong karst,Strong karst landform,,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,WE,,WE,With wetlands (occupying > 15%),With wetlands landform (occupying > 15%),,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,IM,,IM,With intermontane plains (occupying > 15%),With intermontane plains landform(occupying > 15%),,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,TE,,TE,Terraced,Terraced landform,,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,DO,,DO,Dome-shaped,Dome-shaped landform,,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,IN,,IN,Inselberg covered (occupying > 1% of level land),Inselberg covered (occupying > 1% of level land),,,False,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
stickiness,ST,,ST,Sticky,"After pressure, soil material adheres to both thumb and finger and tends to stretch somewhat and pull apart rather than pulling free from either digit.",,,False,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,SST,,SST,Slightly sticky,"After pressure, soil material adheres to both thumb and finger but comes off one or the other rather cleanly. It is not appreciably stretched when the digits are separated.",,,False,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,VST,,VST,Very sticky,"After pressure, soil material adheres strongly to both thumb and finger and is decidedly stretched when they are separated.",,,False,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,SVS,,SVS,sticky to very sticky,Additional code of combination of ST and VST,,,False,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,NST,,NST,Non-sticky,"After release of pressure, practically no soil material adheres to thumb and finger.",,,False,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,SSS,,SSS,slightly sticky to sticky,Additional code of combination of SST and ST,,,False,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
physiography,HI,,HI,Higher part (rise),Position in flat or almost flat terrain: Higher part (rise),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,MS,,MS,Middle slope (back slope),Position in undulating to mountainous terrain: Middle slope (back slope),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,LO,,LO,Lower part (and dip),Position in flat or almost flat terrain: Lower part (and dip),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,IN,,IN,Intermediate part (talf),Position in flat or almost flat terrain: Intermediate part (talf),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,TS,,TS,Toe slope,Position in undulating to mountainous terrain: Toe slope,,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,UP,,UP,Upper slope (shoulder),Position in undulating to mountainous terrain: Upper slope (shoulder),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,LS,,LS,Lower slope (foot slope),Position in undulating to mountainous terrain: Lower slope (foot slope),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,CR,,CR,Crest (summit),Position in undulating to mountainous terrain: Crest (summit),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,BOdl,,BOdl,Bottom (drainage line),Position in flat or almost flat terrain: Bottom (drainage line),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,BOf,,BOf,Bottom (flat),Position in undulating to mountainous terrain: Bottom (flat),,,False,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
rockSize,A,,A,Artefacts,Aretfacts in soil measured in (mm),,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AC,A,AC,Coarse artefacts,Coarse artefacts in soil greater than 20mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AM,A,AM,Medium artefacts,6mm–20mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,R,,R,Rock fragments,Rock fragments measured in mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RM,R,RM,Medium gravel,Combination of rocks and artefacts of medium gravel of size from 6mm–20mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RL,R,RL,Large boulders,Rock fragments mainly in the form of large boulders of size more than 600mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,BL,C,BL,Boulders and large boulders,Combination of boulderds and large boulders,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,FM,C,FM,Fine and medium gravel/artefacts,Combination of fine and medium gravel and artefacts,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,C,,C,Combination of classes,Class combination of rock fragment and artefacts,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,SB,C,SB,Stones and boulders,Combination of stone and boulders,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RB,R,RB,Boulders,60mm–200mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AF,A,AF,Fine artefacts,Fine artefacts in soild of size between 2mm–6mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,MC,C,MC,Medium and coarse gravel/artefacts,Combination of medium and course gravels and artefacts,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RF,R,RF,Fine gravel,Rock fragments of mainly fine gravel of size from 2mm–6mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RC,R,RC,Coarse gravel,Coarse gravel of size  20mm–60mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AV,A,AV,Very fine artefacts,Very fine artefacsts in soil of size < 2mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RS,R,RS,Stones,Rock fragments mainly stones of size from 60mm–200mm,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,CS,C,CS,Coarse gravel and stones,Combination rock fragments and artefacts of coarse gravel and stones,,,False,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
majorLandForm,LP,L,LP,plain,first level of landform is level land (L) and the second level is plain (LP),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TV,T,TV,high-gradient valley,first level of landform is steep land (T) and the second level is high gradient valley (TV),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
