collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
erosionCategory,WG,W,WG,Gully erosion,Erosion caused by flowing surface water,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,WA,W,WA,Water and wind erosion,Erosion and deposition caused by wind,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,A,,A,Wind (aeolian) erosion or deposition,Erosion caused by wind,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,NK,,N,Not known,Unknown causes of Soil erosion,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,AZ,A,AZ,Salt deposition,Erosion caused by salt deposition,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,WS,W,WS,Sheet erosion,Uniform erosion of soil in the form of thin layers or sheets.,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,AD,A,AD,Wind deposition,Soil deposition caused by wind,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,WT,W,WT,Tunnel erosion,Erosion caused by the movement of excess water through a dispersive subsoil.,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,AS,A,AS,Shifting sands,Erosion caused by shifting of sands,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,N,,N,No evidence of erosion,"Refers to a condition in which the soil shows no visible signs of erosion, indicating that the surface is intact and not undergoing significant degradation due to physical forces like water, wind, or human activity. This category is often used in soil conservation and land management to evaluate the stability of soil. It suggests that soil properties are being maintained, and there is no noticeable loss of topsoil or alteration in the soil structure that would be indicative of erosion processes such as rill, sheet, or gully erosion. In agricultural and ecological contexts, the absence of erosion is a positive indicator that the land is being properly managed, with adequate vegetation cover or protective measures in place to prevent soil degradation​. Source: Soil Erosion from Intro to Environmental Science",,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,WR,W,WR,Rill erosion,"Rill erosion is the type of erosion that occurs as water flows over a hillslope and cuts shallow, curvy channels into the top soil.",,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,W,,W,Water erosion or deposition,Erosion and decposition caused by flowing surface water,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
cracksDistance,D,,D,Closely spaced 0.2–0.5,Closely spaced surface crack with distance between 0.2 - 0.5 m,,,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,V,,V,Very widely spaced > 5,Very widely spaced surface crack with distance more than 5 m,,,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,C,,C,Very closely spaced < 0.2,Very closely spaced surface crack with distance less than 0.2 m,,,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,W,,W,Widely spaced 2–5,Widely spaced surface crack with distance between 2–5 m,,,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
cracksDistance,M,,M,Moderately widely spaced 0.5–2,Moderately widely spaced surface crack with distance between 0.5–2 m,,,"Classification of the surface cracks based on distance between the cracks measured in meters. See more in Guidelines for Soil Description issued by the FAO: table 21,3",,,
sandyTexture,FS,,FS,Fine sand,Fine sand is a subdivision of the unspecified Sand (S) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,LFS,,LFS,Loamy fine sand,Loamy fine sand is a subdivision of the Loamy sand (LS) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,LCS,,LCS,Loamy coarse sand,Loamy coarse sand is a subdivision of the Loamy sand (LS) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,MS,,MS,Medium sand,Medium sand is a subdivision of the unspecified Sand (S) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,CSL,,CSL,Coarse sandy loam,Coarse sandy loam is a subdivision of the Sandy Loam (SL) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,US,,US,"Sand, unsorted",Unsorted Sand is a subdivision of the unspecified Sand (S) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,CS,,CS,Coarse sand,Coarse sand is a subdivision of the unspecified Sand (S) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,FSL,,FSL,Fine sandy loam,Fine sandy loam is a subdivision of the Sandy Loam (SL) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,LVFS,,LVFS,Loamy very fine sand,Loamy very fine sand is a subdivision of the Loamy sand (LS) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
sandyTexture,VFS,,VFS,Very fine sand,Very fine sand is a subdivision of the unspecified Sand (S) textural class,,,"Relation of constituents of fine earth by size, defining textural classes and sand subclasses. See more in Guidelines for Soil Description issued by the FAO: figure 4,3",,,
mineralConcShape,R,,R,Rounded (spherical),Rounded (spherical) shape of mineral concentrations,,,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,E,,E,Elongated,Elongated shape of mineral concentrations,,,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,A,,A,Angular,Angular shape of mineral concentrations,,,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,I,,I,Irregular,Irregular shape of mineral concentrations,,,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
mineralConcShape,F,,F,Flat,Flat shape of mineral concentrations,,,"Classification of the size and shape of mineral concentrations. See more in Guidelines for Soil Description issued by the FAO: table 75,2",,,
boundaryClassification,C,,C,Clear,Boundary of mottles 0.5–2 mm,,,The boundary between mottle and matrix is described as the thickness of the zone within which the colour transition can be located without being in either the mottle or matrix. See more in guidelines for Soil Description issued by the FAO: table 35,,,
boundaryClassification,S,,S,Sharp,Boundary of mottles < 0.5,,,The boundary between mottle and matrix is described as the thickness of the zone within which the colour transition can be located without being in either the mottle or matrix. See more in guidelines for Soil Description issued by the FAO: table 35,,,
boundaryClassification,D,,D,Diffuse,Boundary of mottles > 2 mm,,,The boundary between mottle and matrix is described as the thickness of the zone within which the colour transition can be located without being in either the mottle or matrix. See more in guidelines for Soil Description issued by the FAO: table 35,,,
floodDuration,,,,,,,,"Related to the amount of time an area remains inundated by floodwater.  This metric is important because it helps assess the extent of waterlogging and its impact on soil properties, particularly in terms of oxygen availability and soil aeration. Flood duration affects the mobility of nutrients and contaminants within the soil, influencing both agricultural productivity and environmental quality. Longer flood durations can also lead to changes in soil texture and structure due to the continuous movement and deposition of particles during inundation​. Source: Guidance for Flood Risk Analysis and Mapping",,,
landformComplex,DU,,DU,Dune-shaped,Dune-shaped landform,,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,RI,,RI,Ridged,Ridged Landform,,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,CU,,CU,Cuesta-shaped,Cuesta-shaped lanform,,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,KA,,KA,Strong karst,Strong karst landform,,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,WE,,WE,With wetlands (occupying > 15%),With wetlands landform (occupying > 15%),,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,IM,,IM,With intermontane plains (occupying > 15%),With intermontane plains landform(occupying > 15%),,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,TE,,TE,Terraced,Terraced landform,,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,DO,,DO,Dome-shaped,Dome-shaped landform,,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
landformComplex,IN,,IN,Inselberg covered (occupying > 1% of level land),Inselberg covered (occupying > 1% of level land),,,Subdivisions for complex landforms. See more in Guidelines for Soil Description issued by the FAO: table 5,,,
stickiness,ST,,ST,Sticky,"After pressure, soil material adheres to both thumb and finger and tends to stretch somewhat and pull apart rather than pulling free from either digit.",,,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,SST,,SST,Slightly sticky,"After pressure, soil material adheres to both thumb and finger but comes off one or the other rather cleanly. It is not appreciably stretched when the digits are separated.",,,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,VST,,VST,Very sticky,"After pressure, soil material adheres strongly to both thumb and finger and is decidedly stretched when they are separated.",,,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,SVS,,SVS,sticky to very sticky,Additional code of combination of ST and VST,,,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,NST,,NST,Non-sticky,"After release of pressure, practically no soil material adheres to thumb and finger.",,,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
stickiness,SSS,,SSS,slightly sticky to sticky,Additional code of combination of SST and ST,,,Stickiness is the quality of adhesion of the soil material to other objects determined by noting the adherence of soil material when it is pressed between thumb and finger. See more in the Guidelines for Soil Description issued by the FAO: table 55,,,
physiography,HI,,HI,Higher part (rise),Position in flat or almost flat terrain: Higher part (rise),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,MS,,MS,Middle slope (back slope),Position in undulating to mountainous terrain: Middle slope (back slope),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,LO,,LO,Lower part (and dip),Position in flat or almost flat terrain: Lower part (and dip),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,IN,,IN,Intermediate part (talf),Position in flat or almost flat terrain: Intermediate part (talf),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,TS,,TS,Toe slope,Position in undulating to mountainous terrain: Toe slope,,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,UP,,UP,Upper slope (shoulder),Position in undulating to mountainous terrain: Upper slope (shoulder),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,LS,,LS,Lower slope (foot slope),Position in undulating to mountainous terrain: Lower slope (foot slope),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,CR,,CR,Crest (summit),Position in undulating to mountainous terrain: Crest (summit),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,BOdl,,BOdl,Bottom (drainage line),Position in flat or almost flat terrain: Bottom (drainage line),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
physiography,BOf,,BOf,Bottom (flat),Position in undulating to mountainous terrain: Bottom (flat),,,The relative position of the site within the land should be indicated. The position affects the hydrological conditions of the site. See more in the Guidelines for Soil Description issued by the FAO: figure 2,,,
rockSize,A,,A,Artefacts,Aretfacts in soil measured in (mm),,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AC,A,AC,Coarse artefacts,Coarse artefacts in soil greater than 20mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AM,A,AM,Medium artefacts,6mm–20mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,R,,R,Rock fragments,Rock fragments measured in mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RM,R,RM,Medium gravel,Combination of rocks and artefacts of medium gravel of size from 6mm–20mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RL,R,RL,Large boulders,Rock fragments mainly in the form of large boulders of size more than 600mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,BL,C,BL,Boulders and large boulders,Combination of boulderds and large boulders,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,FM,C,FM,Fine and medium gravel/artefacts,Combination of fine and medium gravel and artefacts,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,C,,C,Combination of classes,Class combination of rock fragment and artefacts,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,SB,C,SB,Stones and boulders,Combination of stone and boulders,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RB,R,RB,Boulders,60mm–200mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AF,A,AF,Fine artefacts,Fine artefacts in soild of size between 2mm–6mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,MC,C,MC,Medium and coarse gravel/artefacts,Combination of medium and course gravels and artefacts,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RF,R,RF,Fine gravel,Rock fragments of mainly fine gravel of size from 2mm–6mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RC,R,RC,Coarse gravel,Coarse gravel of size  20mm–60mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,AV,A,AV,Very fine artefacts,Very fine artefacsts in soil of size < 2mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,RS,R,RS,Stones,Rock fragments mainly stones of size from 60mm–200mm,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
rockSize,CS,C,CS,Coarse gravel and stones,Combination rock fragments and artefacts of coarse gravel and stones,,,"Classification for rock fragments and artefacts influences the nutrient status, water movement, use and management of the soil. See more in guidelines for Soil Description issued by the FAO: table 27",,,
majorLandForm,LP,L,LP,plain,first level of landform is level land (L) and the second level is plain (LP),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TV,T,TV,high-gradient valley,first level of landform is steep land (T) and the second level is high gradient valley (TV),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,LD,L,LD,depression,first level of landform is level land (L) and the second level is depression (LD),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SM,S,SM,medium-gradient mountain,first level of landform is sloping land (S) and the second level is medium-gradient mountain (SM),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,T,,T,steep land,first level of landform is steep land (T),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TH,T,TH,high-gradient hill,first level of landform is steep land (T) and the second level is high gradient hill (TH),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TE,T,TE,high-gradient escarpment zone,first level of landform is steep land (T) and the second level is high-gradient escarpment zone (TE),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,LV,L,LV,valley floor,first level of landform is level land (L) and the second level is valley floor (LV),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,L,,L,level land,first level of landform is level land (L),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SH,S,SH,medium-gradient hill,first level of landform is sloping land (S) and the second level is medium gradient hill (SH),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SE,S,SE,medium-gradient escarpment zone,first level of landform is sloping land (S) and the second level is medium-gradient escarpment zone (SE),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,LL,L,LL,plateau,first level of landform is level land (L) and the second level is plateau (LL),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TM,T,TM,high-gradient mountain,first level of landform is steep land (T) and the second level is high-gradient mountain (TM),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,S,,S,sloping land,first level of landform is sloping land (S),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SP,S,SP,dissected plain,first level of landform is sloping land (S) and the second level is dissected plain (SP),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SV,S,SV,medium-gradient valley,first level of landform is sloping land (S) and the second level is medium gradient valley (SV),,,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
profileDescriptionStatus,4.1,4,4.1,Soil augering description - no sampling,If soil description is done without sampling.,,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,3.1,3,3.1,Incomplete description - no sampling,If soil description is done without sampling.,,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,2,,2,Routine profile description,"No essential elements are missing from the description, sampling or analysis. The number of samples collected is sufficient to characterize all major soil horizons, but may not allow precise definition of all subhorizons, especially in the deeper soil. The profile depth is 80 cm or more, or down to a C or R horizon or layer, which may be shallower. Additional augering and sampling may be required for lower level classification.",,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,3,,3,Incomplete description,"Certain relevant elements are missing from the description, an insufficient number of samples was collected, or the reliability of the analytical data does not permit a complete characterization of the soil. However, the description is useful for specific purposes and provides a satisfactory indication of the nature of the soil at high levels of soil taxonomic classification.",,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,5,,5,Other descriptions,"Essential elements are missing from the description, preventing a satisfactory soil characterization and classification.",,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
