foi,attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
Layer-Horizon,sand,SWD2,,SWD2,Sand Water Dispersible 0.2,"Sand water dispersible at 0.2 measures the sand fraction that can be dispersed at a 0.2 pressure. This parameter is crucial for evaluating the soil’s risk for erosion, particularly for sandy soils where the potential for particle dispersion can lead to structural degradation. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,sand,SWD4,,SWD4,Sand Water Dispersible 0.4,"Sand water dispersible at 0.4 measures the fraction of sand particles that can be dispersed at a 0.4 pressure. This is useful for understanding how sand interacts with water under varying levels of stress, providing insight into soil stability, especially in sandy soils where dispersion might influence the soil structure and erosion potential. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,sand,SWD1,,SWD1,Sand Water Dispersible 0.1,"Sand water dispersible at 0.1 indicates the sand fraction of soil that can be dispersed into water under a pressure of 0.1. This measure helps assess the ease with which sand particles can separate from aggregates and become suspended in water, impacting soil erosion potential and water retention characteristics. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,sand,SWD5,,SWD5,Sand Water Dispersible 0.5,"Sand water dispersible at 0.5 refers to the amount of sand particles that can be dispersed into water when subjected to a pressure of 0.5. This measure is used to assess the potential for soil degradation, particularly in sandy soils where dispersion may lead to erosion or changes in soil structure. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG100,,WRG100,Water Retention Gravimetric 100 kPa,"Gravimetric water retention at 100 kPa measures the water retained by the soil at this specific pressure, using the gravimetric method. It indicates the moisture available to plants between field capacity and the wilting point, providing a useful measurement for soil water management. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG33,,WRG33,Water Retention Gravimetric 33 kPa,"Gravimetric water retention at 33 kPa measures the amount of water retained by the soil at this specific pressure, determined by the mass of water held in the soil when subjected to the 33 kPa suction. It reflects the soil’s capacity to hold water available to plants under conditions of moderate water stress. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG1500,,WRG1500,Water Retention Gravimetric 1500 kPa,"Gravimetric water retention at 1500 kPa refers to the mass of water retained by the soil at this pressure, as measured by the gravimetric method (weighing the soil before and after drying). This pressure represents the point at which water is tightly held by the soil and is no longer easily accessible to plants, closely corresponding to the permanent wilting point. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV10,,WRV10,Water Retention Volumetric 10 kPa,"Water retention at 10 kPa measures the volumetric water content of the soil at this pressure, which is typically considered within the zone of plant-available water. At 10 kPa, the soil retains water that can be easily accessed by plants for growth and physiological processes. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV1500,,WRV1500,Water Retention Volumetric 1500 kPa,"Water retention at 1500 kPa (or field capacity) measures the amount of water that a soil can hold at this specific suction pressure. This is a critical indicator of the soil's ability to retain water against gravity after it has drained. At 1500 kPa, the soil's moisture content represents the point at which most of the water available for plant use has been drained, and it is typically considered the permanent wilting point. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV33,,WRV33,Water Retention Volumetric 33 kPa,"Water retention at 33 kPa represents the volumetric water content in soil at a pressure of 33 kPa, which is often associated with the field capacity of the soil. At this pressure, water is held in the soil that is available for most plant species, providing a balance between water retention and drainage. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV,,WRV,Water Retention Volumetric,"Volumetric water retention refers to the amount of water retained in the soil, expressed as a volume per unit volume of soil. This measure is crucial for understanding the soil's ability to retain and supply water to plants, and it is often assessed at different matric potentials, such as 33 kPa or 1500 kPa, depending on the context. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG6,,WRG6,Water Retention Gravimetric 6 kPa,"Gravimetric water retention at 6 kPa measures the soil's water content at a low suction pressure, typically indicative of the moisture available to plants under less favorable conditions. The gravimetric method involves weighing the soil before and after drying to assess the retained water. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV200,,WRV200,Water Retention Volumetric 200 kPa,"Water retention at 200 kPa refers to the volumetric water content retained by the soil at a 200 kPa pressure. This measurement typically lies between the field capacity and wilting point, giving an indication of the soil’s ability to hold water that plants can access under moderate stress conditions. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG10,,WRG10,Water Retention Gravimetric 10 kPa,"Gravimetric water retention at 10 kPa measures the water held in the soil at 10 kPa pressure, commonly representing the moisture content that is available to plants under normal growing conditions. This measurement is crucial for assessing the soil’s capacity to retain and supply water to plants. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG,,WRG,Water Retention Gravimetric,"Gravimetric water retention refers to the amount of water held by the soil measured by weight, often expressed in terms of mass per unit mass of soil. It is a fundamental method for assessing soil moisture content and can be determined at various suction pressures like 33 kPa or 1500 kPa. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV6,,WRV6,Water Retention Volumetric 6 kPa,"Volumetric water retention at 6 kPa measures the soil’s ability to hold water at a low pressure, typically indicating the moisture content available to plants under conditions of mild water stress. It is important for understanding the soil's water-holding capacity and potential for plant growth. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG500,,WRG500,Water Retention Gravimetric 500 kPa,"Gravimetric water retention at 500 kPa indicates the amount of water retained in the soil at this pressure. This is closer to the permanent wilting point, with the gravimetric method determining the mass of water held in the soil at this specific tension. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRG200,,WRG200,Water Retention Gravimetric 200 kPa,"Gravimetric water retention at 200 kPa is the mass of water retained by the soil at this specific suction pressure. It provides insight into the soil’s ability to retain water that is not easily lost by evaporation, offering a more accurate measurement of water held at pressures significant for plant growth. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV100,,WRV100,Water Retention Volumetric 100 kPa,"Water retention at 100 kPa measures the volumetric water content in the soil at this pressure. This value is often used to assess the availability of water for plant uptake under normal conditions, as it lies between field capacity and the wilting point for many soils. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,waterRetention,WRV500,,WRV500,Water Retention Volumetric 500 kPa,"Water retention at 500 kPa measures the volumetric water content of the soil at a pressure of 500 kPa, which lies between field capacity and permanent wilting point. This pressure is commonly used in assessing soil water retention characteristics for plants that are not able to access water at extremely low pressures. The volumetric water content at 500 kPa indicates the soil's capacity to hold water that is readily available for plant uptake. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,clay,CC,,CC,Clay Carbonate,"Clay carbonate refers to clay particles that are associated with or contain carbonate minerals, particularly calcium carbonate (CaCO₃). These carbonates are typically present in soils with higher pH (alkaline soils), and they play a significant role in buffering soil acidity. Clay-carbonate soils are found in regions with semi-arid and arid climates, where evaporation exceeds precipitation. These soils can have distinct properties, including a lower cation exchange capacity compared to non-carbonate soils and an ability to neutralize soil acidity, influencing both soil fertility and plant growth. Source: Brady & Weil (2017), The Nature and Properties of Soils.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,clay,CNC,,CNC,Clay Non-Carbonate,"Clay non-carbonate refers to the fraction of clay particles in soil that do not contain carbonates. Clay particles are very fine mineral components that contribute to the soil's texture and are typically smaller than 0.002 mm in diameter. The term non-carbonate implies that these clay particles are not associated with carbonate minerals, such as calcium carbonate (lime), which are commonly found in soils in arid or semi-arid regions. Non-carbonate clay soils are often more acidic, with higher cation exchange capacity, and may require different management practices, especially for nutrient availability and soil pH control. Source: Brady & Weil (2017), The Nature and Properties of Soils.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,clay,CWT,,CWT,Clay Water Dispersible,"Clay water dispersible refers to the portion of clay particles in soil that can be dispersed into water, forming a suspension when the soil is wetted. This characteristic is significant in assessing soil stability, particularly in the presence of water. Water-dispersible clays can lead to erosion problems, as the particles are more easily detached and transported by water. This term is important in understanding soil erodibility, especially in soils with high clay content that are prone to degradation when subjected to rainfall or irrigation. The dispersibility of clay affects both the physical structure and water-holding capacity of the soil. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,textSand,fSa_ISSS,Sa_ISSS,fSa_ISSS,Fine sand (0.125 - 0.2 mm),Content of mineral particles with sizes between 0.02-0.2 mm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,mSa_ISSS,Sa_ISSS,mSa_ISSS,Medium sand (0.2 - 0.63 mm),Content of mineral particles with sizes between 0.2-0.63 mm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,cSa_USDA,Sa_USDA,cSa_USDA,Coarse sand (0.5 - 1 mm),Content of mineral particles with sizes between 0.5-1 mm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,vfSa_ISSS,Sa_ISSS,vfSa_ISSS,Very fine sand (0.063 - 0.125 mm),Content of mineral particles with sizes between 0.063-0.125 mm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,vcSa_ISSS,Sa_ISSS,vcSa_ISSS,Very coarse sand (1.25 - 2 mm),Content of mineral particles with sizes between 1.25-2 mm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,
Layer-Horizon,textSand,cSa_ISO,Sa_ISO,cSa_ISO,Coarse sand (0.63 - 2 mm),Content of mineral particles with sizes between 0.63-2 mm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,fSa_ISO,Sa_ISO,fSa_ISO,Fine sand (0.063 - 0.2 mm),Content of mineral particles with sizes between 0.063-0.2 mm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,Sa_ISSS,,Sa_ISSS,Sand (0.02 - 2 mm),Content of mineral particles with sizes between 0.020-2 mm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,cSa_ISSS,Sa_ISSS,cSa_ISSS,Coarse sand (0.2 - 2 mm),Content of mineral particles with sizes between 0.2-2 mm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,mSa_USDA,Sa_USDA,mSa_USDA,Medium sand (0.25 - 0.5 mm),Content of mineral particles with sizes between 0.25-0.5 mm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,vcSa_USDA,Sa_USDA,vcSa_USDA,Very coarse sand (1 - 2 mm),Content of mineral particles with sizes between 1-2 mm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,vfSa_USDA,Sa_USDA,vfSa_USDA,Very fine sand (0.05 - 0.1 mm),Content of mineral particles with sizes between 0.05-0.1 mm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,Sa_ISO,,Sa_ISO,Sand (0.063  - 2 mm),Content of mineral particles with sizes between 0.063-2 mm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,Sa_USDA,,Sa_USDA,Sand (0.050  - 2 mm),Content of mineral particles with sizes between 0.050-2 mm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,mSa_ISO,Sa_ISO,mSa_ISO,Medium sand (0.2 - 0.63 mm),Content of mineral particles with sizes between 0.02-0.63 mm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textSand,fSa_USDA,Sa_USDA,fSa_USDA,Fine sand (0.1 - 0.25 mm),Content of mineral particles with sizes between 0.1-0.25 mm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ;International Society of Soil Science (ISSS), 1929. The minutes of the First Commission meetings, International Congress of Soil Science, Washington 1927. Proc. Int. Soc. Soil Sci. 4 (3), pp. 215–222.",,,
Layer-Horizon,textClay,Cl,,Cl,Clay (< 0.002 mm),Very fine mineral particles smaller than 2 µm,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"Eva Corral-Pazos-de-Provens, Ígor Rapp-Arrarás and Juan M. Domingo-Santos, Estimating textural fractions of the USDA using those of the International System: A quantile approach, Geoderma, Volume 416, 2022.",,,
Layer-Horizon,silt,SWDF2,,SWDF2,Silt Water Dispersible Fraction 0.2,"Silt water dispersible fraction at 0.2 quantifies the amount of silt particles in the soil that can be dispersed at a 0.2 pressure. Dispersible silt can have a significant impact on soil stability and is particularly relevant for understanding how silt behaves under wet conditions, affecting erosion rates and water retention. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,silt,SWDF1,,SWDF1,Silt Water Dispersible Fraction 0.1,"Silt water dispersible fraction at 0.1 refers to the portion of silt particles that can be dispersed into water when subjected to a 0.1 pressure. This measure helps determine the soil's erodibility, as silt tends to be more easily dispersed than sand, contributing to the formation of suspended particles in water, which can affect water quality and soil health. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,silt,SWDFT,,SWDFT,Silt Water Dispersible Fraction Total,"Silt water dispersible fraction total refers to the total amount of silt particles that can be dispersed into water across different pressures. This total measure indicates the overall dispersibility of silt in a soil, which is important for assessing the soil’s vulnerability to erosion and degradation, especially in soils with a high silt content. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,physioChemical,Alusat,,Alusat,Aluminium (Al) saturation,Measure to describe the relative abundance of alumium in the soil. It is the percentage of the CEC occupied by aluminium,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,Mandit,,Mandit,Manganese (Mn) - dithionite extractable,"'Free' manganese content extracted from amorphous compounds (weathering products) as well as crystaline, primary aluminium compounds (parent material) in the soil.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
Layer-Horizon,physioChemical,Irodit,,Irodit,Iron (Fe) - dithionite extractable,"'Free' iron content extracted from amorphous compounds (weathering products) as well as crystaline, primary aluminium compounds (parent material) in the soil.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
