label,definition,description
l,Capillary fringe mottling (gleying),"Capillary fringe mottling: Indicates mottling caused by ascending
groundwater. If aggregates are present, the interiors of the aggregates show
reducing colours and the surface parts oxidizing colours."
m,"Strong cementation or induration (pedogenetic, massive)","Strong cementation or induration: Indicates in mineral soils continuous or
nearly continuous cementation, and is used only for horizons that are more
than 90 percent cemented, although they may be fractured. The layer is root
restrictive and roots do not enter except along fracture planes. The single
predominant or codominant cementing agent may be indicated using defined
letter suffices single or in pairs. If the horizon is cemented by carbonates km
is used, by silica, qm, by iron, sm, by gypsum, ym, by both lime and silica,
kqm, and by salts more soluble than gypsum, zm."
m-L,Marl,"Marl: In combination with limnic material it is used to indicate marl, i.e.
materials deposited under water and dominated by a mixture of clay and
calcium carbonate, typically grey in colour."
n,Pedogenetic accumulation of exchangeable sodium,"Pedogenetic accumulation of exchangeable sodium: Indicates an accumulation
of exchangeable sodium."
o,Residual accumulation of sesquioxides (pedogenetic),"Residual accumulation of sesquioxides: Indicates residual accumulation of
sesquioxides. It differs from the use of symbol s, which indicates illuvial
accumulation of organic matter and sesquioxide complexes."
p,Ploughing or other human disturbance,"Ploughing or other human disturbance: Indicates disturbance of the surface
layer by ploughing or other tillage practices. A disturbed organic horizon is
designated Op or Hp. A disturbed mineral horizon, even though clearly once
an E, B or C, is designated Ap."
q,Accumulation of pedogenetic silica,"Accumulation of pedogenetic silica: Indicates an accumulation of secondary
silica. If silica cements the layer and cementation is continuous or nearly
continuous, qm is used."
r,Strong reduction,"Strong reduction: Indicates presence of iron in reduced state. If r is used with
B, pedogenetic change in addition to reduction is implied, if no other change
has taken place, the horizon is designated Cr."
s,Illuvial accumulation of sesquioxides,"Illuvial accumulation of sesquioxides: Used with B to indicate the
accumulation of illuvial, amorphous, dispersible organic matter?sesquioxide
complexes if the value and chroma of the horizon are more than 3. The
symbol is also used in combination with h as Bhs if both the organic matter
and sesquioxides components are significant and both value and chroma are
about 3 or less."
t,Illuvial accumulation of silicate clay,"Accumulation of silicate clay: Used with B or C to indicate an accumulation
of silicate clay that either has formed in the horizon or has been moved into
it by illuviation, or both. At least some part should show evidence of clay
accumulation in the form of coatings on ped surfaces or in pores, as lamellae,
or as bridges between mineral grains."
u,Urban and other human-made materials,"Urban and other human-made materials: Used to indicate the dominant
presence of human-made materials, including technogenic ones. The symbol
can be used in combination with H, O, A, E, B and C."
v,Occurrence of plinthite,"Occurrence of plinthite: Indicates the presence of iron-rich, humus-poor
material that is firm or very firm when moist and that hardens irreversibly
when exposed to the atmosphere. When hardened, it is no longer called
plinthite but a hardpan, ironstone, a petroferric or a skeletic phase. In that
case, v is used in combination with m."
w,Development of colour or structure,"Development of colour or structure in B: Used with B only to indicate
development of colour or structure, or both. It is not used to indicate a
transitional horizon."
x,Fragipan characteristics,"Fragipan characteristics: Used to indicate genetically developed firmness,
brittleness or high bulk density. These features are characteristic of fragipans,
but some horizons designated x do not have all the properties of a fragipan."
y,Pedogenetic accumulation of gypsum,"Pedogenetic accumulation of gypsum: Indicates an accumulation of
gypsum."
z,Pedogenetic accumulation of salts more soluble than gypsum,"Pedogenetic accumulation of salts more soluble than gypsum: Indicates an
accumulation of salts more soluble than gypsum."
@,Evidence of cryoturbation,"Evidence of cryoturbation: irregular or broken boundaries, sorted rock
fragments (patterned ground), or organic matter in the lower boundary
between the active layer and permafrost layer. The suffix is always used last,
e.g. Hi@."
